id,name,duration,albumName,singerName,songUrl,imageUrl,lyricUrl
217501,合久必婚?(合唱),191000,听我唱歌?The?Audience?Is?Listening,李克勤,http://music.163.com/song/media/outer/url?id=217501.mp3,http://p2.music.126.net/rRVkFXCPXPghQYiuSy5HZQ==/41781441872296.jpg,src/lyric/合久必婚?(合唱).txt
113610,傻女?(Live),170000,爱不释手李克勤新城唱好音乐大派对,李克勤,http://music.163.com/song/media/outer/url?id=113610.mp3,http://p2.music.126.net/96PFefYMator8pYrQyxqVQ==/50577534890014.jpg,src/lyric/傻女?(Live).txt
402073899,单车?(Live) - (原唱?:?陈奕迅),236000,我是歌手第四季?第5期,李克勤,http://music.163.com/song/media/outer/url?id=402073899.mp3,http://p2.music.126.net/SgcH09uTKc1Hb-ZHQbtyGg==/1364493981206667.jpg,src/lyric/单车?(Live) - (原唱?:?陈奕迅).txt
115794,一生不变,264000,Purple?Dream,李克勤,http://music.163.com/song/media/outer/url?id=115794.mp3,http://p2.music.126.net/0maYwCYiqmGEEnmbJj2l7g==/109951163400210628.jpg,src/lyric/一生不变.txt
5251209,承诺(香港版),349000,承诺,李克勤,http://music.163.com/song/media/outer/url?id=5251209.mp3,http://p2.music.126.net/gtem-77q-H1Su04EVEo5zw==/62672162800292.jpg,src/lyric/承诺(香港版).txt
33984203,恋爱为何物,272000,李克勤?我克勤,李克勤,http://music.163.com/song/media/outer/url?id=33984203.mp3,http://p2.music.126.net/Yt1eTVPz0qI2EDQf8Axc0g==/7980255396294609.jpg,src/lyric/恋爱为何物.txt
185726,再见,183000,再见,张震岳,http://music.163.com/song/media/outer/url?id=185726.mp3,http://p2.music.126.net/ovYzwC_wSPz9EZ18xBDSZA==/100055558139763.jpg,src/lyric/再见.txt
185700,思念是一种病,259000,OK,张震岳,http://music.163.com/song/media/outer/url?id=185700.mp3,http://p2.music.126.net/N61oLy0iLfEkZTHD2j87iA==/18693896697392706.jpg,src/lyric/思念是一种病.txt
454698657,迷途羔羊,271000,天兵,张震岳,http://music.163.com/song/media/outer/url?id=454698657.mp3,http://p2.music.126.net/b1eSBbx2Yia0k89ocfOnjQ==/18677404023325159.jpg,src/lyric/迷途羔羊.txt
185712,小宇,231000,OK,张震岳,http://music.163.com/song/media/outer/url?id=185712.mp3,http://p2.music.126.net/N61oLy0iLfEkZTHD2j87iA==/18693896697392706.jpg,src/lyric/小宇.txt
185919,爱我别走,284000,秘密基地,张震岳,http://music.163.com/song/media/outer/url?id=185919.mp3,http://p2.music.126.net/y-7BwF3KQVJDwjXypcmYWA==/19035844811868044.jpg,src/lyric/爱我别走.txt
185937,爱的初体验,242000,这个下午很无聊,张震岳,http://music.163.com/song/media/outer/url?id=185937.mp3,http://p2.music.126.net/XmvaHWMwhC0Fg8qIp7tiXQ==/59373627900772.jpg,src/lyric/爱的初体验.txt
543656128,秘密,322000,爱曲初体验,张震岳,http://music.163.com/song/media/outer/url?id=543656128.mp3,http://p2.music.126.net/Jdlbgs636ICWm1MDZJaFsw==/109951163175719996.jpg,src/lyric/秘密.txt
1371760071,My?Way?(Live),396000,中国新说唱2019?第一期,张震岳,http://music.163.com/song/media/outer/url?id=1371760071.mp3,http://p2.music.126.net/ykMKbr2vdhVv1m9XJ-gTTA==/109951164146211059.jpg,src/lyric/My?Way?(Live).txt
185706,很难,262000,OK,张震岳,http://music.163.com/song/media/outer/url?id=185706.mp3,http://p2.music.126.net/N61oLy0iLfEkZTHD2j87iA==/18693896697392706.jpg,src/lyric/很难.txt
1306507665,再见Hip-Hop,240000,再见Hip-Hop,张震岳,http://music.163.com/song/media/outer/url?id=1306507665.mp3,http://p2.music.126.net/bcRYaryCL7bysJEYswwkPQ==/109951163536049237.jpg,src/lyric/再见Hip-Hop.txt
557584888,往后余生,195000,往后余生,马良,http://music.163.com/song/media/outer/url?id=557584888.mp3,http://p1.music.126.net/VY-LfiQZZNjtDBHGmEu85A==/109951163300149472.jpg,src/lyric/往后余生.txt
571338083,醒着醉,228000,醒着醉,马良,http://music.163.com/song/media/outer/url?id=571338083.mp3,http://p2.music.126.net/g-tbzhZCU2opvigyB2g_Qg==/109951163334448121.jpg,src/lyric/醒着醉.txt
1361434698,事关孤独,243000,事关孤独,马良,http://music.163.com/song/media/outer/url?id=1361434698.mp3,http://p2.music.126.net/109Chb5s2HSfU_nfSz7QGw==/109951164026928171.jpg,src/lyric/事关孤独.txt
1311319953,往后余生,236000,往后余生,马良,http://music.163.com/song/media/outer/url?id=1311319953.mp3,http://p2.music.126.net/mgZ0uZ0EUdElU5r0EpfUPg==/109951163571387205.jpg,src/lyric/往后余生.txt
1334296172,平凡的你我,239000,平凡的你我,马良,http://music.163.com/song/media/outer/url?id=1334296172.mp3,http://p2.music.126.net/jcNZndJyZJNhTn16sif6dA==/109951163755198254.jpg,src/lyric/平凡的你我.txt
1426840557,理想世界,264000,理想世界,马良,http://music.163.com/song/media/outer/url?id=1426840557.mp3,http://p2.music.126.net/-1A1_Ba159DE60mL_lPsbg==/109951164751565865.jpg,src/lyric/理想世界.txt
554118097,往后余生原创(demo),152000,往后余生DEMO,马良,http://music.163.com/song/media/outer/url?id=554118097.mp3,http://p2.music.126.net/qbQfW4Ulgci_oR1QpcwqPA==/109951163255476596.jpg,src/lyric/往后余生原创(demo).txt
1388321301,往后余生 - (电影《逗爱熊仁镇》宣传插曲),207000,往后余生,马良,http://music.163.com/song/media/outer/url?id=1388321301.mp3,http://p2.music.126.net/AM-Be7FGaYxy9He5rmBM0Q==/109951164354964770.jpg,src/lyric/往后余生 - (电影《逗爱熊仁镇》宣传插曲).txt
1336871705,这个大叔不太冷,232000,这个大叔不太冷,马良,http://music.163.com/song/media/outer/url?id=1336871705.mp3,http://p2.music.126.net/N2-Eamd6fA7TGo0NtztkZg==/109951163825918164.jpg,src/lyric/这个大叔不太冷.txt
1311345294,回首仍是少年,296000,回首仍是少年,马良,http://music.163.com/song/media/outer/url?id=1311345294.mp3,http://p2.music.126.net/VH0xBGxUxMnTWIZ7nYvxfQ==/109951163560977084.jpg,src/lyric/回首仍是少年.txt
29723022,暗里着迷?(粤),226000,Wonderful?World?香港演唱会?2007,刘德华,http://music.163.com/song/media/outer/url?id=29723022.mp3,http://p2.music.126.net/-6osWky_WObfAydYYiTvpA==/3236962232773608.jpg,src/lyric/暗里着迷?(粤).txt
29723041,17岁(粤),303000,Wonderful?World?香港演唱会?2007,刘德华,http://music.163.com/song/media/outer/url?id=29723041.mp3,http://p2.music.126.net/-6osWky_WObfAydYYiTvpA==/3236962232773608.jpg,src/lyric/17岁(粤).txt
